"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Feb 09 13:21:14 GMT 2023","Thu Feb 09 13:21:14 GMT 2023","1","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
"passed","Thu Feb 09 13:21:14 GMT 2023","Thu Feb 09 13:21:22 GMT 2023","7765","","login","","login","#browserstackTest #UAT #Login should allow access to welcome page with correct credentials ","#browserstackTest #UAT #Login should allow access to welcome page with correct credentials ",""
"skipped","Thu Feb 09 13:21:37 GMT 2023","Thu Feb 09 13:21:37 GMT 2023","1","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
"passed","Thu Feb 09 13:21:37 GMT 2023","Thu Feb 09 13:21:53 GMT 2023","15271","","login","","login","#browserstackTest #UAT #Login should allow access to welcome page with correct credentials ","#browserstackTest #UAT #Login should allow access to welcome page with correct credentials ",""
"failed","Thu Feb 09 13:20:45 GMT 2023","Thu Feb 09 13:21:29 GMT 2023","43121","","joinUshja","","joinUshja","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog",""
"passed","Thu Feb 09 13:22:54 GMT 2023","Thu Feb 09 13:23:06 GMT 2023","12008","","login","","login","#browserstackTest #UAT #Login should allow access to welcome page with correct credentials ","#browserstackTest #UAT #Login should allow access to welcome page with correct credentials ",""
"failed","Thu Feb 09 13:23:20 GMT 2023","Thu Feb 09 13:24:05 GMT 2023","45677","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
"skipped","Thu Feb 09 13:22:54 GMT 2023","Thu Feb 09 13:22:54 GMT 2023","1","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
"passed","Thu Feb 09 13:20:10 GMT 2023","Thu Feb 09 13:20:22 GMT 2023","12004","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
"passed","Thu Feb 09 13:22:03 GMT 2023","Thu Feb 09 13:22:19 GMT 2023","16279","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
"passed","Thu Feb 09 13:20:12 GMT 2023","Thu Feb 09 13:20:35 GMT 2023","23193","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
"failed","Thu Feb 09 13:22:00 GMT 2023","Thu Feb 09 13:22:41 GMT 2023","41618","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
"failed","Thu Feb 09 13:22:32 GMT 2023","Thu Feb 09 13:23:17 GMT 2023","44441","","joinUshja","","joinUshja","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog",""
"failed","Thu Feb 09 13:20:29 GMT 2023","Thu Feb 09 13:21:05 GMT 2023","35176","","joinUshja","","joinUshja","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog",""
"passed","Thu Feb 09 13:21:31 GMT 2023","Thu Feb 09 13:21:47 GMT 2023","15887","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
