"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Feb 06 01:45:57 GMT 2023","Mon Feb 06 01:46:02 GMT 2023","4844","","My horse details table","","My horse details table","#Regression #UAT user should be able to view the My Horse details sections and the details are correct","#Regression #UAT user should be able to view the My Horse details sections and the details are correct",""
"passed","Mon Feb 06 01:44:31 GMT 2023","Mon Feb 06 01:44:42 GMT 2023","10916","","login","","login","#Regression #UAT should allow access to welcome page with correct credentials ","#Regression #UAT should allow access to welcome page with correct credentials ",""
"passed","Mon Feb 06 01:45:16 GMT 2023","Mon Feb 06 01:45:26 GMT 2023","10050","","profile Information","","profile Information","""before all"" hook","""before all"" hook",""
"passed","Mon Feb 06 01:44:56 GMT 2023","Mon Feb 06 01:45:01 GMT 2023","5177","","joinUshja","","joinUshja","#Regression #UAT user should be able to view the Join USHJA dialog","#Regression #UAT user should be able to view the Join USHJA dialog",""
"passed","Mon Feb 06 01:45:32 GMT 2023","Mon Feb 06 01:45:34 GMT 2023","1472","","profile Information","","profile Information","#Regression #UAT Member profile info should be correct","#Regression #UAT Member profile info should be correct",""
"passed","Mon Feb 06 01:44:16 GMT 2023","Mon Feb 06 01:44:31 GMT 2023","15387","","login","","login","#Regression should deny access with wrong credentials ","#Regression should deny access with wrong credentials ",""
"passed","Mon Feb 06 01:44:08 GMT 2023","Mon Feb 06 01:44:18 GMT 2023","10658","","login","","login","#Regression should deny access with wrong credentials ","#Regression should deny access with wrong credentials ",""
"passed","Mon Feb 06 01:45:48 GMT 2023","Mon Feb 06 01:45:57 GMT 2023","8950","","My horse details table","","My horse details table","""before all"" hook","""before all"" hook",""
"passed","Mon Feb 06 01:45:26 GMT 2023","Mon Feb 06 01:45:31 GMT 2023","4658","","profile Information","","profile Information","#Regression #UAT Member profile info should be correct","#Regression #UAT Member profile info should be correct",""
"passed","Mon Feb 06 01:44:48 GMT 2023","Mon Feb 06 01:44:59 GMT 2023","10321","","joinUshja","","joinUshja","""before all"" hook","""before all"" hook",""
"passed","Mon Feb 06 01:44:18 GMT 2023","Mon Feb 06 01:44:30 GMT 2023","11464","","login","","login","#Regression #UAT should allow access to welcome page with correct credentials ","#Regression #UAT should allow access to welcome page with correct credentials ",""
"passed","Mon Feb 06 01:45:46 GMT 2023","Mon Feb 06 01:45:56 GMT 2023","10046","","My horse details table","","My horse details table","""before all"" hook","""before all"" hook",""
"passed","Mon Feb 06 01:45:18 GMT 2023","Mon Feb 06 01:45:32 GMT 2023","14176","","profile Information","","profile Information","""before all"" hook","""before all"" hook",""
"passed","Mon Feb 06 01:44:59 GMT 2023","Mon Feb 06 01:45:05 GMT 2023","5956","","joinUshja","","joinUshja","#Regression #UAT user should be able to view the Join USHJA dialog","#Regression #UAT user should be able to view the Join USHJA dialog",""
"passed","Mon Feb 06 01:45:56 GMT 2023","Mon Feb 06 01:45:59 GMT 2023","2770","","My horse details table","","My horse details table","#Regression #UAT user should be able to view the My Horse details sections and the details are correct","#Regression #UAT user should be able to view the My Horse details sections and the details are correct",""
"passed","Mon Feb 06 01:44:46 GMT 2023","Mon Feb 06 01:44:56 GMT 2023","9690","","joinUshja","","joinUshja","""before all"" hook","""before all"" hook",""
