"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 07 08:41:28 GMT 2023","Tue Feb 07 08:41:36 GMT 2023","7704","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
"passed","Tue Feb 07 08:40:41 GMT 2023","Tue Feb 07 08:41:15 GMT 2023","34381","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
"passed","Tue Feb 07 08:41:46 GMT 2023","Tue Feb 07 08:41:53 GMT 2023","7764","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
"passed","Tue Feb 07 08:40:45 GMT 2023","Tue Feb 07 08:41:01 GMT 2023","16334","","My horse details table","","My horse details table","#Horses user should be able to view the My Horse details for ""Processing"" status","#Horses user should be able to view the My Horse details for ""Processing"" status",""
"passed","Tue Feb 07 08:41:53 GMT 2023","Tue Feb 07 08:42:07 GMT 2023","13243","","login","","login","#UAT #Login should allow access to welcome page with correct credentials ","#UAT #Login should allow access to welcome page with correct credentials ",""
"passed","Tue Feb 07 08:41:58 GMT 2023","Tue Feb 07 08:42:12 GMT 2023","13787","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
"passed","Tue Feb 07 08:41:01 GMT 2023","Tue Feb 07 08:41:34 GMT 2023","33079","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
"passed","Tue Feb 07 08:40:29 GMT 2023","Tue Feb 07 08:40:41 GMT 2023","11623","","My horse details table","","My horse details table","#Horses user should be able to view the My Horse details for ""Processing"" status","#Horses user should be able to view the My Horse details for ""Processing"" status",""
"passed","Tue Feb 07 08:41:36 GMT 2023","Tue Feb 07 08:41:45 GMT 2023","9018","","login","","login","#UAT #Login should allow access to welcome page with correct credentials ","#UAT #Login should allow access to welcome page with correct credentials ",""
"passed","Tue Feb 07 08:42:15 GMT 2023","Tue Feb 07 08:42:28 GMT 2023","13148","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
