"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 07 08:11:14 GMT 2023","Tue Feb 07 08:11:27 GMT 2023","13084","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
"passed","Tue Feb 07 08:11:00 GMT 2023","Tue Feb 07 08:11:10 GMT 2023","9929","","login","","login","#UAT #Login should allow access to welcome page with correct credentials ","#UAT #Login should allow access to welcome page with correct credentials ",""
"failed","Tue Feb 07 08:11:00 GMT 2023","Tue Feb 07 08:11:13 GMT 2023","12935","","My horse details table","","My horse details table","#UAT #Horses Failing testcase-user should be able to view the My Horse details for ""Processing"" status","#UAT #Horses Failing testcase-user should be able to view the My Horse details for ""Processing"" status",""
"passed","Tue Feb 07 08:11:13 GMT 2023","Tue Feb 07 08:11:45 GMT 2023","32108","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
"skipped","Tue Feb 07 08:11:00 GMT 2023","Tue Feb 07 08:11:00 GMT 2023","1","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
