"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 08 08:31:24 GMT 2023","Wed Feb 08 08:31:31 GMT 2023","7010","","login","","login","#UAT #Login should allow access to welcome page with correct credentials ","#UAT #Login should allow access to welcome page with correct credentials ",""
"passed","Wed Feb 08 08:31:01 GMT 2023","Wed Feb 08 08:31:15 GMT 2023","14217","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
"failed","Wed Feb 08 08:31:01 GMT 2023","Wed Feb 08 08:31:42 GMT 2023","40984","","joinUshja","","joinUshja","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog",""
"skipped","Wed Feb 08 08:31:24 GMT 2023","Wed Feb 08 08:31:24 GMT 2023","1","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
"skipped","Wed Feb 08 08:31:01 GMT 2023","Wed Feb 08 08:31:01 GMT 2023","1","","My horse details table","","My horse details table","#Horses user should be able to view the My Horse details for ""Processing"" status","#Horses user should be able to view the My Horse details for ""Processing"" status",""
"passed","Wed Feb 08 08:31:39 GMT 2023","Wed Feb 08 08:31:48 GMT 2023","9256","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
