"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 12 12:52:51 GMT 2023","Sun Feb 12 12:53:04 GMT 2023","13309","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
"failed","Sun Feb 12 12:50:51 GMT 2023","Sun Feb 12 12:51:26 GMT 2023","34807","","joinUshja","","joinUshja","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog",""
"passed","Sun Feb 12 12:51:36 GMT 2023","Sun Feb 12 12:51:43 GMT 2023","7090","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
"passed","Sun Feb 12 12:51:43 GMT 2023","Sun Feb 12 12:51:54 GMT 2023","11051","","login","","login","#browserstackTest #UAT #Login should allow access to welcome page with correct credentials ","#browserstackTest #UAT #Login should allow access to welcome page with correct credentials ",""
"passed","Sun Feb 12 12:52:07 GMT 2023","Sun Feb 12 12:52:39 GMT 2023","32594","","#Business Business Membership application","","#Business Business Membership application","Successfully submit a Business Membership application","Successfully submit a Business Membership application",""
"passed","Sun Feb 12 12:50:31 GMT 2023","Sun Feb 12 12:50:44 GMT 2023","12805","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
