"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 07 17:09:42 GMT 2023","Tue Feb 07 17:09:49 GMT 2023","6913","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
"passed","Tue Feb 07 17:08:50 GMT 2023","Tue Feb 07 17:09:05 GMT 2023","15133","","My horse details table","","My horse details table","#Horses user should be able to view the My Horse details for ""Processing"" status","#Horses user should be able to view the My Horse details for ""Processing"" status",""
"passed","Tue Feb 07 17:09:05 GMT 2023","Tue Feb 07 17:09:37 GMT 2023","31979","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
"passed","Tue Feb 07 17:09:49 GMT 2023","Tue Feb 07 17:09:55 GMT 2023","6521","","login","","login","#UAT #Login should allow access to welcome page with correct credentials ","#UAT #Login should allow access to welcome page with correct credentials ",""
"passed","Tue Feb 07 17:10:12 GMT 2023","Tue Feb 07 17:10:22 GMT 2023","9775","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
