"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Feb 07 08:29:29 GMT 2023","Tue Feb 07 08:29:29 GMT 2023","5","","My horse details table","","My horse details table","#Horses Failing testcase-user should be able to view the My Horse details for ""Processing"" status","#Horses Failing testcase-user should be able to view the My Horse details for ""Processing"" status",""
"passed","Tue Feb 07 08:29:29 GMT 2023","Tue Feb 07 08:29:43 GMT 2023","14494","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
"passed","Tue Feb 07 08:29:43 GMT 2023","Tue Feb 07 08:29:53 GMT 2023","9524","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
"passed","Tue Feb 07 08:29:29 GMT 2023","Tue Feb 07 08:29:39 GMT 2023","9832","","login","","login","#UAT #Login should allow access to welcome page with correct credentials ","#UAT #Login should allow access to welcome page with correct credentials ",""
"skipped","Tue Feb 07 08:29:29 GMT 2023","Tue Feb 07 08:29:29 GMT 2023","0","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
