"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 07 09:17:21 GMT 2023","Tue Feb 07 09:17:32 GMT 2023","11747","","login","","login","#UAT #Login should allow access to welcome page with correct credentials ","#UAT #Login should allow access to welcome page with correct credentials ",""
"passed","Tue Feb 07 09:17:45 GMT 2023","Tue Feb 07 09:17:55 GMT 2023","9203","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
"passed","Tue Feb 07 09:17:21 GMT 2023","Tue Feb 07 09:17:35 GMT 2023","14729","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
"skipped","Tue Feb 07 09:17:21 GMT 2023","Tue Feb 07 09:17:21 GMT 2023","1","","My horse details table","","My horse details table","#Horses user should be able to view the My Horse details for ""Processing"" status","#Horses user should be able to view the My Horse details for ""Processing"" status",""
"skipped","Tue Feb 07 09:17:21 GMT 2023","Tue Feb 07 09:17:21 GMT 2023","1","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
