"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 09 12:03:05 GMT 2023","Thu Feb 09 12:03:20 GMT 2023","15087","","login","","login","#browserstackTest #UAT #Login should allow access to welcome page with correct credentials ","#browserstackTest #UAT #Login should allow access to welcome page with correct credentials ",""
"passed","Thu Feb 09 12:04:46 GMT 2023","Thu Feb 09 12:04:57 GMT 2023","11387","","login","","login","#browserstackTest #UAT #Login should allow access to welcome page with correct credentials ","#browserstackTest #UAT #Login should allow access to welcome page with correct credentials ",""
"failed","Thu Feb 09 12:02:11 GMT 2023","Thu Feb 09 12:02:56 GMT 2023","44114","","joinUshja","","joinUshja","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog",""
"failed","Thu Feb 09 12:02:04 GMT 2023","Thu Feb 09 12:02:54 GMT 2023","49764","","joinUshja","","joinUshja","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog",""
"passed","Thu Feb 09 12:03:25 GMT 2023","Thu Feb 09 12:03:39 GMT 2023","14242","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
"failed","Thu Feb 09 12:05:01 GMT 2023","Thu Feb 09 12:05:43 GMT 2023","41871","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
"failed","Thu Feb 09 12:03:51 GMT 2023","Thu Feb 09 12:04:33 GMT 2023","41771","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
"passed","Thu Feb 09 12:01:36 GMT 2023","Thu Feb 09 12:01:55 GMT 2023","19082","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
"skipped","Thu Feb 09 12:04:46 GMT 2023","Thu Feb 09 12:04:46 GMT 2023","1","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
"passed","Thu Feb 09 12:03:06 GMT 2023","Thu Feb 09 12:03:17 GMT 2023","11151","","login","","login","#browserstackTest #UAT #Login should allow access to welcome page with correct credentials ","#browserstackTest #UAT #Login should allow access to welcome page with correct credentials ",""
"failed","Thu Feb 09 12:04:05 GMT 2023","Thu Feb 09 12:04:48 GMT 2023","43419","","joinUshja","","joinUshja","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog",""
"skipped","Thu Feb 09 12:03:05 GMT 2023","Thu Feb 09 12:03:05 GMT 2023","1","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
"skipped","Thu Feb 09 12:03:06 GMT 2023","Thu Feb 09 12:03:06 GMT 2023","1","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
"passed","Thu Feb 09 12:03:29 GMT 2023","Thu Feb 09 12:03:51 GMT 2023","22168","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
"passed","Thu Feb 09 12:01:36 GMT 2023","Thu Feb 09 12:01:58 GMT 2023","22608","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
