"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Feb 07 08:18:20 GMT 2023","Tue Feb 07 08:18:20 GMT 2023","1","","My horse details table","","My horse details table","#Horses Failing testcase-user should be able to view the My Horse details for ""Processing"" status","#Horses Failing testcase-user should be able to view the My Horse details for ""Processing"" status",""
"passed","Tue Feb 07 08:18:46 GMT 2023","Tue Feb 07 08:18:58 GMT 2023","11452","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
"skipped","Tue Feb 07 08:18:20 GMT 2023","Tue Feb 07 08:18:20 GMT 2023","1","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
"passed","Tue Feb 07 08:18:20 GMT 2023","Tue Feb 07 08:18:35 GMT 2023","14542","","login","","login","#UAT #Login should allow access to welcome page with correct credentials ","#UAT #Login should allow access to welcome page with correct credentials ",""
"passed","Tue Feb 07 08:18:20 GMT 2023","Tue Feb 07 08:18:35 GMT 2023","14815","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
