"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 09 12:32:37 GMT 2023","Thu Feb 09 12:32:49 GMT 2023","12223","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
"passed","Thu Feb 09 12:31:25 GMT 2023","Thu Feb 09 12:31:43 GMT 2023","17762","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
"passed","Thu Feb 09 12:33:22 GMT 2023","Thu Feb 09 12:33:38 GMT 2023","16421","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
"passed","Thu Feb 09 12:32:49 GMT 2023","Thu Feb 09 12:33:01 GMT 2023","12091","","login","","login","#browserstackTest #UAT #Login should allow access to welcome page with correct credentials ","#browserstackTest #UAT #Login should allow access to welcome page with correct credentials ",""
"failed","Thu Feb 09 12:31:53 GMT 2023","Thu Feb 09 12:32:29 GMT 2023","36136","","joinUshja","","joinUshja","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog",""
