"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Feb 07 09:36:44 GMT 2023","Tue Feb 07 09:36:44 GMT 2023","2","","My horse details table","","My horse details table","#Horses user should be able to view the My Horse details for ""Processing"" status","#Horses user should be able to view the My Horse details for ""Processing"" status",""
"passed","Tue Feb 07 09:37:13 GMT 2023","Tue Feb 07 09:37:23 GMT 2023","10472","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
"passed","Tue Feb 07 09:36:44 GMT 2023","Tue Feb 07 09:37:00 GMT 2023","16057","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
"skipped","Tue Feb 07 09:36:44 GMT 2023","Tue Feb 07 09:36:44 GMT 2023","1","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
"passed","Tue Feb 07 09:36:44 GMT 2023","Tue Feb 07 09:36:57 GMT 2023","12908","","login","","login","#UAT #Login should allow access to welcome page with correct credentials ","#UAT #Login should allow access to welcome page with correct credentials ",""
