"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 08 07:26:01 GMT 2023","Wed Feb 08 07:26:15 GMT 2023","14031","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
"failed","Wed Feb 08 07:26:01 GMT 2023","Wed Feb 08 07:26:42 GMT 2023","40836","","joinUshja","","joinUshja","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog",""
"passed","Wed Feb 08 07:26:30 GMT 2023","Wed Feb 08 07:26:39 GMT 2023","8977","","login","","login","#UAT #Login should allow access to welcome page with correct credentials ","#UAT #Login should allow access to welcome page with correct credentials ",""
"skipped","Wed Feb 08 07:26:01 GMT 2023","Wed Feb 08 07:26:01 GMT 2023","1","","My horse details table","","My horse details table","#Horses user should be able to view the My Horse details for ""Processing"" status","#Horses user should be able to view the My Horse details for ""Processing"" status",""
"skipped","Wed Feb 08 07:26:30 GMT 2023","Wed Feb 08 07:26:30 GMT 2023","1","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
"passed","Wed Feb 08 07:26:45 GMT 2023","Wed Feb 08 07:26:54 GMT 2023","8858","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
