"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 08 08:26:39 GMT 2023","Wed Feb 08 08:26:54 GMT 2023","15306","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
"failed","Wed Feb 08 08:25:24 GMT 2023","Wed Feb 08 08:26:02 GMT 2023","37938","","joinUshja","","joinUshja","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog",""
"passed","Wed Feb 08 08:26:16 GMT 2023","Wed Feb 08 08:26:23 GMT 2023","7272","","login","","login","#UAT #Login should allow access to welcome page with correct credentials ","#UAT #Login should allow access to welcome page with correct credentials ",""
"passed","Wed Feb 08 08:24:45 GMT 2023","Wed Feb 08 08:25:18 GMT 2023","32644","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
"passed","Wed Feb 08 08:24:57 GMT 2023","Wed Feb 08 08:25:30 GMT 2023","33323","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
"passed","Wed Feb 08 08:24:37 GMT 2023","Wed Feb 08 08:24:57 GMT 2023","20314","","My horse details table","","My horse details table","#Horses user should be able to view the My Horse details for ""Processing"" status","#Horses user should be able to view the My Horse details for ""Processing"" status",""
"passed","Wed Feb 08 08:27:10 GMT 2023","Wed Feb 08 08:27:23 GMT 2023","13010","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
"passed","Wed Feb 08 08:24:31 GMT 2023","Wed Feb 08 08:24:45 GMT 2023","14699","","My horse details table","","My horse details table","#Horses user should be able to view the My Horse details for ""Processing"" status","#Horses user should be able to view the My Horse details for ""Processing"" status",""
"passed","Wed Feb 08 08:26:41 GMT 2023","Wed Feb 08 08:26:53 GMT 2023","12271","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
"passed","Wed Feb 08 08:26:09 GMT 2023","Wed Feb 08 08:26:16 GMT 2023","7174","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
"failed","Wed Feb 08 08:25:40 GMT 2023","Wed Feb 08 08:26:21 GMT 2023","40599","","joinUshja","","joinUshja","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog",""
"passed","Wed Feb 08 08:26:53 GMT 2023","Wed Feb 08 08:27:03 GMT 2023","10146","","login","","login","#UAT #Login should allow access to welcome page with correct credentials ","#UAT #Login should allow access to welcome page with correct credentials ",""
