"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 07 09:51:21 GMT 2023","Tue Feb 07 09:51:28 GMT 2023","6875","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
"passed","Tue Feb 07 09:51:28 GMT 2023","Tue Feb 07 09:51:35 GMT 2023","6947","","login","","login","#UAT #Login should allow access to welcome page with correct credentials ","#UAT #Login should allow access to welcome page with correct credentials ",""
"passed","Tue Feb 07 09:52:07 GMT 2023","Tue Feb 07 09:52:19 GMT 2023","11219","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
"passed","Tue Feb 07 09:51:47 GMT 2023","Tue Feb 07 09:51:58 GMT 2023","11014","","login","","login","#UAT #Login should allow access to welcome page with correct credentials ","#UAT #Login should allow access to welcome page with correct credentials ",""
"passed","Tue Feb 07 09:50:35 GMT 2023","Tue Feb 07 09:51:08 GMT 2023","32628","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
"passed","Tue Feb 07 09:51:38 GMT 2023","Tue Feb 07 09:51:47 GMT 2023","8938","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
"passed","Tue Feb 07 09:50:22 GMT 2023","Tue Feb 07 09:50:35 GMT 2023","13357","","My horse details table","","My horse details table","#Horses user should be able to view the My Horse details for ""Processing"" status","#Horses user should be able to view the My Horse details for ""Processing"" status",""
"passed","Tue Feb 07 09:51:51 GMT 2023","Tue Feb 07 09:52:01 GMT 2023","10451","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
"passed","Tue Feb 07 09:50:48 GMT 2023","Tue Feb 07 09:51:21 GMT 2023","32716","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
"passed","Tue Feb 07 09:50:34 GMT 2023","Tue Feb 07 09:50:48 GMT 2023","14415","","My horse details table","","My horse details table","#Horses user should be able to view the My Horse details for ""Processing"" status","#Horses user should be able to view the My Horse details for ""Processing"" status",""
