"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Feb 07 05:52:32 GMT 2023","Tue Feb 07 05:52:47 GMT 2023","14985","","My horse details table","","My horse details table","#UAT #Horses Failing testcase-user should be able to view the My Horse details for ""Processing"" status","#UAT #Horses Failing testcase-user should be able to view the My Horse details for ""Processing"" status",""
"failed","Tue Feb 07 05:52:23 GMT 2023","Tue Feb 07 05:52:33 GMT 2023","9648","","My horse details table","","My horse details table","#UAT #Horses Failing testcase-user should be able to view the My Horse details for ""Processing"" status","#UAT #Horses Failing testcase-user should be able to view the My Horse details for ""Processing"" status",""
"passed","Tue Feb 07 05:52:33 GMT 2023","Tue Feb 07 05:53:07 GMT 2023","34201","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
"passed","Tue Feb 07 05:52:47 GMT 2023","Tue Feb 07 05:53:20 GMT 2023","32792","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
