"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 08 08:25:47 GMT 2023","Wed Feb 08 08:26:35 GMT 2023","48021","","joinUshja","","joinUshja","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog",""
"passed","Wed Feb 08 08:25:05 GMT 2023","Wed Feb 08 08:25:40 GMT 2023","34572","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
"passed","Wed Feb 08 08:27:03 GMT 2023","Wed Feb 08 08:27:20 GMT 2023","16706","","login","","login","#UAT #Login should allow access to welcome page with correct credentials ","#UAT #Login should allow access to welcome page with correct credentials ",""
"passed","Wed Feb 08 08:24:31 GMT 2023","Wed Feb 08 08:24:53 GMT 2023","22430","","My horse details table","","My horse details table","#Horses user should be able to view the My Horse details for ""Processing"" status","#Horses user should be able to view the My Horse details for ""Processing"" status",""
"passed","Wed Feb 08 08:26:30 GMT 2023","Wed Feb 08 08:26:40 GMT 2023","10235","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
"failed","Wed Feb 08 08:25:30 GMT 2023","Wed Feb 08 08:26:12 GMT 2023","42722","","joinUshja","","joinUshja","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog","#UAT #Membership user should be able to click Join USHJA and displayed with Join USHJA dialog",""
"passed","Wed Feb 08 08:27:00 GMT 2023","Wed Feb 08 08:27:16 GMT 2023","16428","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
"passed","Wed Feb 08 08:24:34 GMT 2023","Wed Feb 08 08:25:05 GMT 2023","30686","","My horse details table","","My horse details table","#Horses user should be able to view the My Horse details for ""Processing"" status","#Horses user should be able to view the My Horse details for ""Processing"" status",""
"passed","Wed Feb 08 08:26:49 GMT 2023","Wed Feb 08 08:27:03 GMT 2023","14800","","login","","login","#Login should deny access with wrong credentials ","#Login should deny access with wrong credentials ",""
"passed","Wed Feb 08 08:26:40 GMT 2023","Wed Feb 08 08:26:50 GMT 2023","10618","","login","","login","#UAT #Login should allow access to welcome page with correct credentials ","#UAT #Login should allow access to welcome page with correct credentials ",""
"passed","Wed Feb 08 08:24:53 GMT 2023","Wed Feb 08 08:25:26 GMT 2023","33044","","My horse details table","","My horse details table","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status","#UAT #Horses user should be able to view the My Active Horse details My Horse details for ""Active"" status",""
"passed","Wed Feb 08 08:27:32 GMT 2023","Wed Feb 08 08:27:49 GMT 2023","17439","","profile Information","","profile Information","#UAT #Membership Member profile info should be correct","#UAT #Membership Member profile info should be correct",""
